"latitude","longitude","name","country","refcode"
"-36.8055","147.2280","Bogong (Mount Beauty Hydro Scheme)","AU","AUS0000102"
"-30.4994","151.6839","Box Hill","AU","AUS0000342"
"-27.1109","150.9053","Braemar 1","AU","AUS0000152"
"-27.1128","150.9049","Braemar 2","AU","AUS0000153"
"-34.4018","119.3888","Bremer Bay Diesel Backup","AU","AUS0000349"
"-23.8817","133.8281","Brewer","AU","AUS0000256"
"-27.4040","153.1100","Brisbane BNE","AU","WKS0070137"
"-37.6878","144.9663","Broadmeadows","AU","AUS0000082"
"-29.0118","153.4335","Broadwater","AU","AUS0000268"
"-31.9863","141.4203","Broken Hill","AU","AUS0000305"
"-31.9867","141.3915","Broken Hill Solar Plant","AU","AUS0000477"
"-37.8180","144.8319","Brooklyn","AU","AUS0000079"
"-17.9810","122.2046","Broome","AU","AUS0000180"
"-36.5951","149.4740","Brown Mountain","AU","AUS0000269"
"-27.6721","153.0663","Browns Plains","AU","AUS0000078"
"-27.4036","153.1363","Bulwer Island","AU","AUS0000461"
"-32.4270","137.8380","Bungala I","AU","WKS0066021"
"-32.4080","137.8410","Bungala II","AU","WKS0070392"
"-34.1013","142.2617","Buronga","AU","AUS0000416"
"-32.6646","149.1080","Burrendong","AU","AUS0000300"
"-35.0025","148.5834","Burrinjuck Power Station","AU","AUS0000048"
"-20.6286","116.7821","Burrup Peninsula (Karratha Gas Plant)","AU","AUS0000181"
"-20.5937","116.7802","Burrup Peninsula (Pluto Phase 1)","AU","AUS0000182"
"-42.2669","146.2618","Butlers Gorge","AU","AUS0000127"
"-32.8835","151.7275","CSIRO Energy Centre","AU","AUS0000438"
"-24.3340","150.6280","Callide A","AU","AUS0000178"
"-24.3449","150.6197","Callide B","AU","AUS0000177"
"-24.3449","150.6182","Callide C","AU","AUS0000176"
"-18.0278","124.1621","Camballin","AU","AUS0000414"
"-32.0739","115.8914","Canning Vale","AU","AUS0000330"
"-21.8601","140.9158","Cannington Mine","AU","AUS0000452"
"-37.7603","140.4033","Canunda Wind Farm","AU","AUS0000064"
"-38.3577","141.3850","Cape Bridgewater Wind Farm","AU","AUS0000007"
"-20.6488","117.1407","Cape Lambert","AU","AUS0000462"
"-38.3676","141.5430","Cape Nelson North Wind Farm","AU","AUS0000112"
"-38.4120","141.5430","Cape Nelson South Wind Farm","AU","AUS0000111"
"-21.0767","116.1590","Cape Preston","AU","AUS0000457"
"-38.3976","141.6209","Cape Sir William Grant Wind Farm","AU","AUS0000110"
"-35.1660","149.5186","Capital Hill Wind Farm","AU","AUS0000047"
"-32.7897","151.4813","Capral (Aluminium Smelter)","AU","AUS0000270"
"-24.8692","113.6754","Carnarvon","AU","AUS0000386"
"-42.4524","146.5977","Catagunya","AU","AUS0000126"
"-34.8509","135.5852","Cathedral Rocks Wind Farm","AU","AUS0000063"
"-30.3808","121.1635","Cawse Nickel Mine","AU","AUS0000415"
"-41.4806","146.1343","Cethana","AU","AUS0000144"
"-37.3893","143.1123","Challicum Hills Wind Farm","AU","AUS0000006"
"-12.5550","130.8666","Channel Island","AU","AUS0000261"
"-32.9643","151.6936","Charlestown Square","AU","AUS0000401"
"-25.2800","152.3800","Childers","AU","WKS0068499"
"-22.3990","119.7320","Christmas Creek Iron Ore Mine","AU","AUS0000221"
"-19.8380","147.2060","Clare","AU","WKS0066602"
"-37.9502","145.1187","Claytons","AU","AUS0000083"
